Image ID,Ground Truth LaTeX,基线模型-预测,基线模型-质量(10分制),基线模型-耗时(秒),微调模型-预测,DeepSeek-OCR-预测,微调模型-质量(10分制),DeepSeek-质量(10分制),微调模型-耗时(秒),DeepSeek-耗时(秒),备注,,基线,微调,deepseek
test_05881,"\vartheta ^ { d } ( t ) = 1 + 2 d e ^ { - \pi t } + \sum _ { k = 0 } ^ { \infty } { \mathcal N } _ { k } ( d ) e ^ { - \alpha _ { k } \pi t } \quad ,","\[\displaystyle\phi^{d}(t)=1+2d\mathrm{e}^{-\pi t}+\sum_{k\equiv0}^{\mathrm{co}}\mathcal{N}_{k}(d)\mathrm{e}^{-\alpha_{k}\pi t}\quad,\]",,1.93,\[\displaystyle\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\qquad\,"\theta^d(t) = 1 + 2de^{-\pi t} + \sum_{k=0}^\infty \mathcal{N}_k(d)e^{-\alpha_k \pi t},",,,6.682,5.959,,,4,0,9
test_05635,S ( \phi ) = \int d x \left( \frac { 1 } { 2 } ( \partial _ { \mu } \phi ) ^ { 2 } - \frac { \mu ^ { 2 } } { 2 } \phi ^ { 2 } - \lambda \phi ^ { 4 } \right) .,\[S(\phi)=\int d\sigma\left(\frac{1}{2}(\partial_{\mu}\phi)^{2}-\frac{\mu^{2}}{2}\phi^{2}-\lambda\phi^{4}\right).\],,1.732,\[S(\phi)=\int d\varpi\left(\frac{1}{2}(\partial_{\mu}\phi)^{2}-\frac{\mu^{2}}{2}\phi^{2}-\lambda\phi^{4}\right).\],S(\phi) = \int dx \left( \frac{1}{2} (\partial_\mu \phi)^2 - \frac{\mu^2}{2} \phi^2 - \lambda \phi^4 \right).,,,1.737,6.665,,,6,6,10
test_04333,\epsilon _ { j } ( \lambda ) = - 2 \pi \bar { c } s ( \lambda ) \delta _ { j 1 } - 2 \pi \tilde { c } s ( \lambda ) \delta _ { j 2 } .,\[\begin{array}{r}{\epsilon_{j}(\lambda)=-2\pi\overline{{\alpha}}\mathrm{s}(\lambda)\delta_{j1}-2\pi\overline{{\alpha}}\mathrm{s}(\lambda)\delta_{j2}.}\end{array}\],,1.436,\[\begin{array}{r}{\epsilon_{j}(\lambda)=-2\pi\bar{\alpha}s(\lambda)\delta_{j1}-2\pi\bar{c}s(\lambda)\delta_{j2}.}\end{array}\],\epsilon_j(\lambda) = -2\pi\tilde{cs}(\lambda)\delta_{j1} - 2\pi\tilde{cs}(\lambda)\delta_{j2}.,,,1.856,5.973,,,6,6,8
test_00711,"\vec { B } = 2 I \frac { ( - y , x , 0 ) } { ( x ^ { 2 } + y ^ { 2 } ) ^ { 3 / 2 } }","\[\vec{B}=2I\frac{(-y,x_{j}\,0)}{(x^{2}+y^{2})^{3/2}}\]",,0.566,"\[\vec{B}=2I\frac{(-y,x_{j}\,0)}{(x^{2}+y^{2})^{3/2}}\]","\vec{B} = 2I \frac{(-y, x, 0)}{(x^2 + y^2)^{3/2}}",,,0.575,5.486,,,6,6,10
test_07527,"{ F ^ { ( w , \hat { w } ) } \to F ^ { ( w , \hat { w } ) } ( c \tau + d ) ^ { w } ( c \bar { \tau } + d ) ^ { \hat { w } } , }","\[F(w,\vec{w})\;\rightarrow\;F(w,\vec{w})\bigl(C\tau\;+\;d\bigr)^{w}\bigl(C\vec{\tau}\;+\;d\bigr)^{w}\;,\]",,1.819,"\[F(w,\vec{w})\ \rightarrow F(w,\vec{w})\Bigl(C\tau+d\Bigr)^{w}\bigl(C\vec{\tau}+d\bigr)^{w},\]","F^{(w, \hat{w})} \to F^{(w, \hat{w})} (c\tau + d)^w (c\bar{\tau} + d)^\hat{w},",,,1.499,6.197,,,7,7,10
test_08785,\omega _ { P } \circ \varrho _ { V } = \lambda _ { + } \omega _ { + } + \lambda _ { - } \omega _ { - },\[\begin{array}{r}{\omega_{\mathbf{P}}\circ\varrho_{V}=\lambda_{+}\omega_{+}\overset{}{\ast}+\lambda_{-}\omega_{-}\overset{}{=}\end{array}\],,1.614,\[\begin{array}{r}{\omega_{\mathbf{P}}\circ\varrho_{V}=\lambda_{+}\omega_{+}\overset{}{\rightarrow}\lambda_{-}\omega_{-}\overset{}{=}\end{array}\],\omega_P \circ \varrho_V = \lambda_+ \omega_+ + \lambda_- \omega_-,,,1.587,5.322,,,6,6,10
test_02045,"S d e t \left( \begin{array} { c c } { A } & { C } \\ { D } & { B } \\ \end{array} \right) = \frac { \det ( A - C B ^ { - 1 } D ) } { \det B } ,","\[\mathrm{Sdet}\left(\begin{array}{c c}{{A}}&{{C}}\\ {{D}}&{{B}}\end{array}\right)\equiv\frac{\operatorname*{det}(A-C B^{-1}D)}{\operatorname*{det}B},\]",,1.95,"\[\mathrm{Sdet}\left(\begin{array}{c c}{{A}}&{{C}}\\ {{D}}&{{B}}\end{array}\right)\equiv\frac{\operatorname*{det}(A-C B^{-1}D)}{\operatorname*{det}B},\]","Sdet \left( \begin{array}{cc} A & C \\ D & B \end{array} \right) = \frac{\det(A - CB^{-1}D)}{\det B},",,,1.961,6.201,,,9.5,9.5,10
test_06201,M \geq \tau _ { p } v _ { p } + \tau _ { p ^ { \prime } } v _ { p ^ { \prime } },\[M\geq\tau_{\bf p}0_{\bf p}+\tau_{\bf p}r^{q}0_{\bf p^{\prime}}\],,1.448,\[M\geq\tau_{\bf p}0_{\bf p}+\tau_{\bf p}r^{q}0_{\bf p^{\prime}}\],\mathcal{M} \geq \tau_p v_p + \tau_{p'} v_{p'},,,1.611,4.832,,,2,2,9
test_01291,"\hat { s } _ { \omega , n } p _ { h } = \hat { s } _ { \omega } p _ { h } \ , \ h a t { s } _ { \omega , n } h = \hat { s } _ { \omega } h + \frac { 2 n _ { \omega } a _ { 0 } } { ( \omega , \omega ) } \omega \ ,","\[\hat{s}_{\omega,n}p_{h}=\hat{s}_{\omega}p_{h}\ ,\ h o t s_{\omega,n}h=\hat{s}_{\omega}h+\frac{2\eta_{\omega,0}a_{0}}{\bigl(\omega,\omega\bigr)}\omega\ ,\]",,2.094,"\[\hat{s}_{\omega,n}p_{h}=\hat{s}_{\omega}p_{h}\ ,\ h o t s_{\omega,n}h=\hat{s}_{\omega}h+\frac{2\eta_{\omega,0}a_{0}}{\bigl(\omega,\omega\bigr)}\omega\ ,\]","\hat{s}_{\omega,nph} = \hat{s}_{\omega}ph, \hat{s}_{\omega,nh} = \hat{s}_{\omega}h + \frac{2n_{\omega}a_0}{(\omega,\omega)}\omega,",,,1.563,6.482,,,5,5,9
test_09044,"\times \exp \left( \sum _ { b , b ^ { \prime } = 1 } ^ { N } \sum _ { j = 1 } ^ { n _ { b } } \sum _ { j ^ { \prime } = 1 } ^ { m _ { b ^ { \prime } } } \frac { 1 } { N } \Big [ \ln ( x _ { j } ^ { ( b ) } - y _ { j ^ { \prime } } ^ { ( b ^ { \prime } ) } ) ^ { 2 } + 2 \gamma - \ln ( 4 ) \Big ] \right)","\[\displaystyle\times\exp\left(\sum_{b,b^{\prime}=1}^{N}\sum_{j=1}^{n_{b}}\sum_{j^{\prime}=1}^{m_{b^{\prime}}}\frac{1}{N}\left[\ln(2\c_{j}^{(b)}-g_{j^{\prime}}^{(b^{\prime})})^{2}+2\gamma-\ln(4)\right]\right)\]",,2.562,"\[\displaystyle\times\exp\left(\sum_{b,b^{\prime}=1}^{N}\sum_{j=1}^{n_{b}}\sum_{j^{\prime}=1}^{m_{b^{\prime}}}\frac{1}{N}\left[\ln(2\c_{j}^{(b)}-g_{j^{\prime}}^{(b^{\prime})})^{2}+2\gamma-\ln(4)\right]\right)\]","\times \exp \left( \sum_{b, b'=1}^{N} \sum_{j=1}^{n_b} \sum_{j'=1}^{m_{b'}} \frac{1}{N} \left[ \ln(x_j^{(b)} - y_{j'}^{(b')})^2 + 2\gamma - \ln(4) \right] \right)",,,2.691,8.542,,,4,4,10
test_04803,\frac { 1 } { 2 } \partial _ { s } ^ { 2 } \chi + \left( 1 - 3 \tanh ^ { 2 } s \right) \chi = f ( s ) .,\[\frac{1}{2}\partial_{y}^{2}\chi+\left(1-3\operatorname{tanh}^{2}s\right)\chi=f(s).\],,1.491,\[\frac{1}{2}\partial_{y}^{2}\chi+\left(1-3\operatorname{tanh}^{2}s\right)\chi=f(s).\],\frac{1}{2} \theta_s^2 \chi + (1 - 3 \tanh^2 s) \chi = f(s).,,,1.452,5.512,,,6,6,6
test_05925,{ \cal L } ^ { ( 0 ) } = - \frac { e ^ { 2 } B ^ { 2 } } { 2 4 \pi ^ { 2 } } \ln \frac { \Lambda ^ { 2 } } { m ^ { 2 } } - \frac { e ^ { 2 } B ^ { 2 } } { 8 \pi ^ { 2 } } \int _ { 0 } ^ { \infty } \frac { d s } { s ^ { 2 } } e ^ { - m ^ { 2 } s / ( e B ) } ( \coth s - \frac { 1 } { s } - \frac { s } { 3 } ),"\[{\cal L}^{(0)}=-\frac{e^{2}B^{2}}{24\pi^{2}}\ln\frac{\Lambda^{2}}{m^{2}}-\frac{e^{2}B^{2}}{8\pi^{2}}\int_{0}^{\infty}\frac{d s}{s^{2}}e^{-m^{2}s/(e B)}(\mathrm{cotch}\,s-\frac{1}{s}-\frac{s}{3})\]",,2.892,"\[{\cal L}^{(0)}=-\frac{e^{2}B^{2}}{24\pi^{2}}\ln\frac{\Lambda^{2}}{m^{2}}-\frac{e^{2}B^{2}}{8\pi^{2}}\int_{0}^{\infty}\frac{d s}{s^{2}}e^{-m^{2}s/(e B)}(\mathrm{coth}\,s-\frac{1}{s}-\frac{s}{3})\]",\mathcal{L}^{(0)} = -\frac{e^2 B^2}{24\pi^2} \ln \frac{\Lambda^2}{m^2} - \frac{e^2 B^2}{8\pi^2} \int_0^\infty \frac{ds}{s^2} e^{-m^2 s/(eB)} (\coth s - \frac{1}{s} - \frac{s}{3}),,,2.849,14.611,,,8,9.5,10
test_03150,\Delta \psi [ \rho ] = - \frac { 1 } { 2 N } \int d \theta \rho ( \theta ) \Bigg \{ \left( \frac { \partial } { \partial \theta } \frac { \delta } { \delta \rho ( \theta ) } \right) ^ { 2 },\[\Delta\psi[\rho]=-\frac{1}{2N}\int d\theta\rho(\theta)\left\{\left(\frac{\partial}{\partial\theta}\frac{\delta}{\delta\rho(\theta)}\right)^{2}\right.\],,1.725,\[\Delta\psi[\rho]=-\frac{1}{2N}\int d\theta\rho(\theta)\left\{\left(\frac{\partial}{\partial\theta}\frac{\delta}{\delta\rho(\theta)}\right)^{2}\right.\],\Delta \psi[\rho] = -\frac{1}{2N} \int d\theta \rho(\theta) \left\{ \left( \frac{\partial}{\partial \theta} \frac{\delta}{\delta \rho(\theta)} \right)^2 \right\},,,1.841,9.792,,,9,9,10
test_01139,\Theta \left[ ^ a _ { b } \right] \left( z + n + \Omega \cdot m | \Omega \right) = e ^ { - \pi i m \cdot \Omega \cdot m - 2 \pi i m \cdot z + 2 \pi i ( a \cdot n - b \cdot m ) } \Theta \left[ ^ a _ { b } \right] \left( z | \Omega \right) .,\[\begin{array}{r}{\Theta\left[g\right](z+n+\mathbb{Q}\cdot m\vert\Omega)=e^{-\pi i m\cdot\Omega\cdot m-2\pi i m\cdot z+2\pi i(a\cdot n-b\cdot m)}\Theta\left[g\right](z\vert\Omega)\ .}\end{array}\],,3.018,\[\begin{array}{r}{\Theta\left[g\right](z+n+\mathbb{Q}\cdot m\vert\Omega)=e^{-\pi i m\cdot Q\cdot m-2\pi i m\cdot z+2\pi i(a\cdot n-b\cdot m)}\Theta\left[g\right](z\vert\Omega)\ .}\end{array}\],\Theta_{[b]}^{[a]} (z + n + \Omega \cdot m|\Omega) = e^{-\pi im \cdot \Omega \cdot m - 2\pi im \cdot z + 2\pi i(a \cdot n - b \cdot m)} \Theta_{[b]}^{[a]} (z|\Omega).,,,2.513,11.221,,,3,3,9
